crop,climate,...3,week,mean_sif,sd_sif,se_sif,smooth_sif,smooth_se,smooth_sd
Durum Wheat,Cold Semi-Arid,1833,34,0.0944456913793046,0.163726921617155,0.0724601005226851,0.22556925540054065,0.07164744901013068,0.15727199847849538
Durum Wheat,Cold Semi-Arid,1834,35,0.0970558048522694,0.169824586021626,0.0769403837313156,0.14820253987434173,0.06803796323511878,0.14819062519081128
Durum Wheat,Cold Semi-Arid,1835,36,0.0399270917847321,0.156002393971651,0.075429764715061,0.0890761322770635,0.06481257220900741,0.1400421685269564
Durum Wheat,Cold Semi-Arid,1836,37,0.038710350275028,0.124887089892924,0.0550566072133655,0.05503397848178139,0.06209990574456561,0.1331928597837058
Durum Wheat,Cold Semi-Arid,1837,38,0.0240043592403742,0.112071056124035,0.0529821665583501,0.028242366932415323,0.05950727758114578,0.12655261702756498
Durum Wheat,Cold Semi-Arid,1838,39,0.0306784867727574,0.113252522368255,0.054902598313928803,0.006302129355823738,0.05701687626438502,0.11998391317006246
Durum Wheat,Cold Semi-Arid,1839,40,0.051732067690938,0.0951784066560964,0.0428076270699868,-0.007757978663441844,0.05504567909968652,0.11398605325421954
Durum Wheat,Cold Semi-Arid,1840,41,0.0327565807521481,0.112407217328018,0.0588980088686849,-0.012691776324057265,0.053567284120947474,0.10857788088092653
Durum Wheat,Cold Semi-Arid,1841,42,0.0117129526060092,0.0997578869120108,0.0510204393203521,-0.013572294074005117,0.051898810966545965,0.10290117679851524
Durum Wheat,Cold Semi-Arid,1842,43,-0.017119290284216,0.111523946850388,0.0639287417588967,-0.015472562361267988,0.0493573792748601,0.09609772175531747
Durum Wheat,Cold Semi-Arid,1843,44,0.00444672827251015,0.0941463763155488,0.0390457283002646,-0.01695563220989867,0.04614952792215502,0.08842623881786837
Durum Wheat,Cold Semi-Arid,1844,45,-0.00814353826335043,0.0776388464627614,0.0358858038814796,-0.014519013303926636,0.04275984161084662,0.08050894020754838
Durum Wheat,Cold Semi-Arid,1845,46,-0.0371330975692857,0.065945028873342,0.0362711250597009,-0.010137424081299522,0.03892250871853909,0.07203284040495732
Durum Wheat,Cold Semi-Arid,1846,47,-0.00565619301050906,0.0810033031705905,0.0524720972671524,-0.0037915648382837908,0.034661990785155694,0.06303946065119267
Durum Wheat,Cold Semi-Arid,1847,48,0.00921643724561567,0.0760440347280071,0.0491448069437338,0.005532293670621281,0.030111407518285085,0.053680187378396665
Durum Wheat,Cold Semi-Arid,1848,49,0.0387961420023607,0.0712254700268119,0.0411220442931375,0.017351077320118844,0.025167934547029557,0.04380683285373626
Durum Wheat,Cold Semi-Arid,1849,50,0.0497373614925891,0,0,0.031393863644453124,0.019763694835029422,0.033325336766120546
Durum Wheat,Cold Semi-Arid,1850,52,0.107627764344215,0,0,0.0668565194158829,0.007686802832163577,0.010704389096788237
Durum Wheat,Cold Semi-Arid,1851,53,0.0311145838350057,0,0,0.0886441850262616,0.0010887305483991323,-0.001333546043347222
Evergreen Forest,Cold Desert,1852,1,0.0101679896286502,0.0684788336032373,0.0296134139945823,0.011687818317737906,0.023828096783624603,0.0577677109719366
Evergreen Forest,Cold Desert,1853,2,0.00137707178628855,0.0648577529837075,0.0266444453149003,0.01019634334255892,0.027923266289370946,0.06630485061797682
Evergreen Forest,Cold Desert,1854,3,0.0152059061277405,0.0619610341318474,0.0305158026466369,0.009255697408554898,0.03185909672010663,0.07447952321042778
Evergreen Forest,Cold Desert,1855,4,-9.9542736175602e-4,0.0783872466101672,0.0298332502034235,0.008804367468289038,0.03565815422291126,0.08231134449653538
Evergreen Forest,Cold Desert,1856,5,0.0175366498259713,0.0815419891606556,0.036188187027190503,0.008820940765841404,0.03932559361039257,0.08980161343592041
Evergreen Forest,Cold Desert,1857,6,0.020799482304439,0.109727646853949,0.0447512371204796,0.009369073391887368,0.042840121512603656,0.09693393473534373
Evergreen Forest,Cold Desert,1858,7,0.00489266662550657,0.113794078904017,0.0535122239620624,0.010514855568883073,0.04618463180279221,0.10370138276276128
Evergreen Forest,Cold Desert,1859,8,0.0267872685171102,0.11305238693176,0.0458272047456988,0.012194823172114995,0.049400292736472645,0.11015404176751908
Evergreen Forest,Cold Desert,1860,9,0.023009031342106,0.0992125252445026,0.0474937062043406,0.014367977979059563,0.05250001418360983,0.11629976659757824
Evergreen Forest,Cold Desert,1861,10,0.0186457209662753,0.122072717661434,0.0538099109136579,0.017134109065457856,0.05542430243912715,0.12206828751881718
Evergreen Forest,Cold Desert,1862,11,0.0121241264287873,0.131121630293143,0.0597981571379666,0.020593005507050947,0.05811366379794797,0.12738933479711442
Evergreen Forest,Cold Desert,1863,12,0.0178525532158178,0.130162331911204,0.0681339379119338,0.024492214266274095,0.06064334353718469,0.13219656065745786
Evergreen Forest,Cold Desert,1864,13,-0.00104414106410724,0.133376097230511,0.0520039949082706,0.028795135848333386,0.06303196901677618,0.1365361794889638
Evergreen Forest,Cold Desert,1865,14,0.064688484575082,0.136124088649162,0.0605435700576886,0.03392533964312618,0.06513511965588553,0.1405067648037035
Evergreen Forest,Cold Desert,1866,15,0.038020226771995,0.130365469309157,0.0594399303635903,0.04156123558742945,0.0669982622728404,0.14428734130152462
Evergreen Forest,Cold Desert,1867,16,0.0357432272661571,0.215345984604376,0.117003585858661,0.05157295610657111,0.06870165659965487,0.14785201724031402
Evergreen Forest,Cold Desert,1868,17,0.0612989740768148,0.125316100346688,0.0547063705929965,0.06167165432327498,0.07015307142602156,0.15099199146920156
Evergreen Forest,Cold Desert,1869,18,0.0650556038596176,0.145255356874527,0.0590122862297585,0.0695684833602649,0.07126027554163321,0.15349846283731705
Evergreen Forest,Cold Desert,1870,19,0.0800570408849586,0.121931043292066,0.0542334997047373,0.07700618829962425,0.07186239403904439,0.1551895602168444
Evergreen Forest,Cold Desert,1871,20,0.0721326656534453,0.148925501932932,0.0681834898669671,0.08521098638383415,0.07205684734514292,0.15623549390341676
Evergreen Forest,Cold Desert,1872,21,0.10607264935108,0.192115072019016,0.0941235912507162,0.091119238976215,0.07213884725112125,0.15695558488133785
Evergreen Forest,Cold Desert,1873,22,0.086803222488451,0.165753556640478,0.0782106888614093,0.09375515444601773,0.07203377226832007,0.1572665696791193
Evergreen Forest,Cold Desert,1874,23,0.150189314160875,0.144787014950733,0.0647429212217269,0.09494968206161324,0.07162275043213323,0.15705479564163588
Evergreen Forest,Cold Desert,1875,24,0.118611342926441,0.168833415848332,0.0720814040276345,0.0958492945350019,0.07113461781983299,0.15659399997773596
Evergreen Forest,Cold Desert,1876,25,0.0667654509095613,0.140273868333895,0.0639492570218364,0.0957201241656378,0.0707600157802272,0.15612252007605315
Evergreen Forest,Cold Desert,1877,26,0.0743116180467086,0.161758751767858,0.0791492956924616,0.09405589347384333,0.07034754774821686,0.15545647126769413
Evergreen Forest,Cold Desert,1878,27,0.0967913078678841,0.149793082346355,0.0627056998065927,0.0923444605029214,0.069612992930214,0.15423625767521704
Evergreen Forest,Cold Desert,1879,28,0.0921190421978411,0.158569594366482,0.0673199936569769,0.09013315479344061,0.06838901146654125,0.15226002788753334
Evergreen Forest,Cold Desert,1880,29,0.0382849007193861,0.126691489600197,0.0603137017982589,0.08658447629240884,0.06679909587601703,0.1496736462817801
